Time,Name,Attachment,Meet Name,Date,Event,Cut,Place
23.2,Jason Kim,Irvine Novaquatics,2018 CA NOVA 'Back to School',9/22/18,50 FR SCY Male,2016-2020 AA,Final 12th
23.21,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/17/17,50 FR SCY Male,2016-2020 AAA,Final 5th
23.28,Jason Kim,Irvine Novaquatics,2021 CA NOVA President's Day,2/13/21,50 FR SCY Male,"""A""",Final 14th
23.29,Jason Kim,Irvine Novaquatics,2016 CA NOVA vs MVN Star League,11/12/16,50 FR SCY Male,2016-2020 AAA,Final 1st
23.31,Jason Kim,Irvine Novaquatics,2017 CA NOVA Back to School Meet,9/17/17,50 FR SCY Male,2016-2020 AAA,Final 3rd
23.34,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/19/17,50 FR SCY Male,2016-2020 AAA,
23.39,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/10/16,50 FR SCY Male,2016-2020 AAA,
23.42,Jason Kim,Irvine Novaquatics,2020 CA Orange-Metro-Pacific Sr Q Qualifier,1/18/20,50 FR SCY Male,2016-2020 AA,Final 17th
23.44,Jason Kim,Unattached,Chapman vs. College of Idaho,2/3/24,50 FR SCY Male,"""Slower than B""",Final 3rd
23.45,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/11/16,50 FR SCY Male,2016-2020 AAA,Final 1st
23.46,Jason Kim,Irvine Novaquatics,2016 CA Star League CANY vs NOVA,10/8/16,50 FR SCY Male,2016-2020 AAA,Final 1st
23.46,Jason Kim,Irvine Novaquatics,2017 CA SCS All Star Swim Festival,1/29/17,50 FR SCY Male,2016-2020 AAA,Final 3rd
23.46,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/17/17,50 FR SCY Male,2016-2020 AAA,Prelim 9th
23.46,Jason Kim,Irvine Novaquatics,2017 CA NOVA March SC 'Blue' Meet,3/4/17,50 FR SCY Male,2016-2020 AAA,Final 1st
23.48,Jason Kim,Irvine Novaquatics,2016 CA NOVA Back to School,9/17/16,50 FR SCY Male,2016-2020 AAA,Final 1st
23.56,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/11/16,50 FR SCY Male,2016-2020 AAA,Prelim 4th
23.57,Jason Kim,Irvine Novaquatics,2017 CA NOVA January 'Blue' Meet,1/8/17,50 FR SCY Male,2016-2020 AAA,Final 2nd
24.42,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,4/3/16,50 FR SCY Male,2012-2016 AAAA,Final 3rd
24.43,Jason Kim,Irvine Novaquatics,2016 CA STAR League Finale,2/6/16,50 FR SCY Male,2012-2016 AAAA,Final 1st
24.53,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,4/3/16,50 FR SCY Male,2012-2016 AAAA,Prelim 3rd
24.59,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/6/15,50 FR SCY Male,2012-2016 AAAA,Final 3rd
24.64,Jason Kim,Irvine Novaquatics,2016 CA Star League-MVN v.s. NOVA,1/16/16,50 FR SCY Male,2012-2016 AAAA,Final 1st
24.82,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/6/15,50 FR SCY Male,2012-2016 AAA,Prelim 3rd
24.83,Jason Kim,Irvine Novaquatics,2015 CA NOVA v CANY,10/31/15,50 FR SCY Male,2012-2016 AAA,Final 1st
25.19,Jason Kim,Irvine Novaquatics,2015 CA NOVAmber Intrasquad Me,11/14/15,50 FR SCY Male,2012-2016 AAA,Final 18th
25.26,Jason Kim,Irvine Novaquatics,2015 CA NOVA Back-to-School Me,9/20/15,50 FR SCY Male,2012-2016 AAA,Final 4th
25.29,Jason Kim,Irvine Novaquatics,2015 CA NOVA v ROSE,10/3/15,50 FR SCY Male,2012-2016 AAA,Final 2nd
25.35,Jason Kim,Irvine Novaquatics,2016 OR Pacific Coast All Star,1/10/16,50 FR SCY Male,2012-2016 AAA,Final 5th
25.78,Jason Kim,Irvine Novaquatics,2015 CA SCS - ROSE Club Champions,2/16/15,50 FR SCY Male,2012-2016 AAA,Prelim 13th
26.98,Jason Kim,Irvine Novaquatics,2015 CA STAR LEAGUE DUAL MEET:,1/3/15,50 FR SCY Male,2012-2016 AA,
27.03,Jason Kim,Irvine Novaquatics,2014 CA NOVAmber Intrasquad Me,11/16/14,50 FR SCY Male,2012-2016 AA,Final 1st
27.36,Jason Kim,Irvine Novaquatics,2014 CA ROSE v NOVA Dual Meet,11/29/14,50 FR SCY Male,2012-2016 A,Final 3rd
28.35,Jason Kim,Irvine Novaquatics,"2014 CA GSC ""Summer JOMax"" SCY",7/18/14,50 FR SCY Male,2012-2016 A,Final 3rd
28.6,Jason Kim,Irvine Novaquatics,2014 CA NOVA Back-to-School Me,9/20/14,50 FR SCY Male,2012-2016 BB,Final 36th
29.32,Jason Kim,Irvine Novaquatics,2015 CA STAR LEAGUE DUAL MEET:,1/3/15,50 FR SCY Male,2012-2016 BB,Final 8th
29.8,Jason Kim,Irvine Novaquatics,"2014 CA GSC ""Summer JOMax"" SCY",7/19/14,50 FR SCY Male,2012-2016 BB,
30.58,Jason Kim,Irvine Novaquatics,2014 CA NOVA February BRW Meet,2/22/14,50 FR SCY Male,2012-2016 A,Final 24th
31.32,Jason Kim,Irvine Novaquatics,2014 CA AZOT Blue Champs,2/7/14,50 FR SCY Male,2012-2016 A,Final 1st
33.7,Jason Kim,Irvine Novaquatics,2013 CA OCSL July Meet-2,7/27/13,50 FR SCY Male,2012-2016 BB,Final 1st
37.45,Jason Kim,Irvine Novaquatics,2013 CA OCSL April Short Course,4/20/13,50 FR SCY Male,2012-2016 B,Final 8th
47.54,Jason Kim,Irvine Novaquatics,2022 SI CA NV Speedo Sectional,3/6/22,100 FR SCY Male,"""AAA""",Prelim 67th
47.74,Jason Kim,Irvine Novaquatics,2021 CA NOVA June AG Closed Invite,6/17/21,100 FR SCY Male,"""AAA""",Final 1st
47.82,Jason Kim,Irvine Novaquatics,2021 CA Kevin B Perry Senior,11/7/21,100 FR SCY Male,"""AAA""",Prelim 72nd
48.03,Jason Kim,Unattached,2021 CA OB CIF-SS Division 1,5/27/21,100 FR SCY Male,"""AA""",
48.08,Jason Kim,Irvine Novaquatics,2021 CA NOVA June AG Closed Invite,6/17/21,100 FR SCY Male,"""AA""",Prelim 1st
48.29,Jason Kim,Irvine Novaquatics,2021 CA Dec CA NV Speedo Sectionals,12/19/21,100 FR SCY Male,"""AA""",Prelim 74th
48.39,Jason Kim,Irvine Novaquatics,2022 CA NOVA President's Day Sr,2/21/22,100 FR SCY Male,"""AA""",Prelim
48.66,Jason Kim,Irvine Novaquatics,2018 PN Pacific Coast All Star Meet,1/7/18,100 FR SCY Male,2016-2020 AAAA,
48.69,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/18/18,100 FR SCY Male,2016-2020 AAAA,Prelim 3rd
48.71,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/18/18,100 FR SCY Male,2016-2020 AAAA,Final 5th
48.82,Jason Kim,Irvine Novaquatics,Bulldog Pentatlhon,10/15/22,100 FR SCY Male,"""Slower than B""",Final 5th
48.96,Jason Kim,Irvine Novaquatics,2020 Sectionals - Carlsbard,3/1/20,100 FR SCY Male,2016-2020 AAA,Prelim 129th
48.98,Jason Kim,Irvine Novaquatics,2019 PC ACSC SR OPEN T&F,2/16/19,100 FR SCY Male,2016-2020 AAA,Final 2nd
48.99,Jason Kim,Irvine Novaquatics,2019 Sectionals - Carlsbad,3/3/19,100 FR SCY Male,2016-2020 AAA,Prelim 141st
49.04,Jason Kim,Irvine Novaquatics,2022 CA RMDA Road to 2022 SCY Prelims,1/15/22,100 FR SCY Male,"""AA""",Prelim 21st
49.16,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 3,4/24/21,100 FR SCY Male,"""AA""",Final 1st
49.27,Jason Kim,Irvine Novaquatics,2019 CA SRS Championships,11/17/19,100 FR SCY Male,2016-2020 AAA,Final 44th
49.3,Jason Kim,Irvine Novaquatics,2019 CA MVN Sr Q Qualifier,1/20/19,100 FR SCY Male,2016-2020 AAA,Final 22nd
49.31,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/8/17,100 FR SCY Male,2016-2020 AAA,Prelim 3rd
49.37,Jason Kim,Irvine Novaquatics,2019 CA Kevin Perry Sr Invite at RMDA-SCY,11/3/19,100 FR SCY Male,2016-2020 AAA,Prelim 163rd
49.42,Jason Kim,Irvine Novaquatics,2021 AZ MAC March Madness,3/14/21,100 FR SCY Male,"""AA""",Prelim 32nd
49.42,Jason Kim,Irvine Novaquatics,2017 CA Kevin B. Perry Senior Invitational,11/5/17,100 FR SCY Male,2016-2020 AAA,Prelim 125th
49.43,Jason Kim,Irvine Novaquatics,2018 CA PST/SCS WAG,12/7/18,100 FR SCY Male,2016-2020 AA,Prelim 11th
49.56,Jason Kim,Irvine Novaquatics,2021 CA NOVA February Senior Intra,2/27/21,100 FR SCY Male,"""AA""",Final 12th
49.65,Jason Kim,Irvine Novaquatics,2019 PC ACSC SR OPEN T&F,2/16/19,100 FR SCY Male,2016-2020 AA,Prelim 14th
49.7,Jason Kim,Irvine Novaquatics,2019 CA SRS NOVA#2-CANY,10/6/19,100 FR SCY Male,2016-2020 AA,Final 5th
49.74,Jason Kim,Irvine Novaquatics,2018 PN Pacific Coast All Star Meet,1/6/18,100 FR SCY Male,2016-2020 AAA,Final 8th
49.75,Jason Kim,Irvine Novaquatics,2018 CA Kevin B Perry Senior,11/4/18,100 FR SCY Male,2016-2020 AA,Prelim 174th
50.14,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/8/17,100 FR SCY Male,2016-2020 AAA,Final 4th
50.19,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/9/16,100 FR SCY Male,2016-2020 AAA,Final 3rd
50.25,Jason Kim,Irvine Novaquatics,2017 CA Nov 18 NOVA Senior Rac,11/18/17,100 FR SCY Male,2016-2020 AAA,Final 6th
50.31,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/17/17,100 FR SCY Male,2016-2020 AAA,
50.34,Jason Kim,Irvine Novaquatics,2017 CA SCS All Star Swim Festival,1/29/17,100 FR SCY Male,2016-2020 AAA,Final 1st
50.38,Jason Kim,Irvine Novaquatics,2021 CA SCS Srs #3 AZOT-NOVA1,10/24/21,100 FR SCY Male,"""A""",Final 8th
50.45,Jason Kim,Irvine Novaquatics,2017 CA SCS All Star Swim Festival,1/29/17,100 FR SCY Male,2016-2020 AAA,
50.58,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/19/17,100 FR SCY Male,2016-2020 AAA,Prelim 14th
50.64,Jason Kim,Irvine Novaquatics,2020 CA Orange-Metro-Pacific Sr Q Qualifier,1/19/20,100 FR SCY Male,2016-2020 AA,Final 12th
50.69,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/19/17,100 FR SCY Male,2016-2020 AAA,Final 16th
50.83,Jason Kim,Irvine Novaquatics,2016 CA NOVAMBER Intrasquad,11/13/16,100 FR SCY Male,2016-2020 AAA,Final 4th
51.2,Jason Kim,Irvine Novaquatics,2021 CA NOVA January Racing Day,1/30/21,100 FR SCY Male,"""A""",Final 14th
51.22,Jason Kim,Irvine Novaquatics,2019 CA SRS ROSE-NOVA#2,10/20/19,100 FR SCY Male,2016-2020 AA,
51.35,Jason Kim,Irvine Novaquatics,2017 CA NOVA January 'Blue' Meet,1/7/17,100 FR SCY Male,2016-2020 AAA,Final 3rd
51.4,Jason Kim,Irvine Novaquatics,2017 CA NOVA Back to School Meet,9/16/17,100 FR SCY Male,2016-2020 AAA,Final 6th
51.47,Jason Kim,Irvine Novaquatics,2016 CA Star League CANY vs NOVA,10/8/16,100 FR SCY Male,2016-2020 AAA,Final 1st
51.49,Jason Kim,Irvine Novaquatics,2017 CA NOVA v ROSE14un DUAL,2/4/17,100 FR SCY Male,2016-2020 AAA,Final 1st
51.53,Jason Kim,Unattached,Bulldog Pentathlon,10/7/23,100 FR SCY Male,"""Slower than B""",Final 28th
51.61,Jason Kim,Irvine Novaquatics,2016 CA NOVA Back to School,9/18/16,100 FR SCY Male,2016-2020 AA,Final 1st
51.67,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/9/16,100 FR SCY Male,2016-2020 AA,Prelim 3rd
51.82,Jason Kim,Irvine Novaquatics,2017 CA NOVA Race Series,10/8/17,100 FR SCY Male,2016-2020 AA,Final 11th
51.91,Jason Kim,Irvine Novaquatics,2020 CA NOVA Sept Quarantine-NSV,9/11/20,100 FR SCY Male,"""A""",Final 9th
52.49,Jason Kim,Irvine Novaquatics,2021 CA SCS SR#1 CANY-NOVA 1,9/19/21,100 FR SCY Male,"""BB""",Final 8th
52.81,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,4/1/16,100 FR SCY Male,2012-2016 AAAA,Final 2nd
52.84,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,4/1/16,100 FR SCY Male,2012-2016 AAAA,Prelim 2nd
53.31,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/4/15,100 FR SCY Male,2012-2016 AAAA,Prelim 1st
53.39,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/15/16,100 FR SCY Male,2012-2016 AAAA,Final 1st
53.46,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/15/16,100 FR SCY Male,2012-2016 AAAA,Prelim 1st
53.51,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/4/15,100 FR SCY Male,2012-2016 AAAA,Final 3rd
53.57,Jason Kim,Irvine Novaquatics,2016 OR Pacific Coast All Star,1/9/16,100 FR SCY Male,2012-2016 AAAA,Final 4th
53.91,Jason Kim,Irvine Novaquatics,2016 CA Star League-MVN v.s. NOVA,1/16/16,100 FR SCY Male,2012-2016 AAAA,Final 1st
54.02,Jason Kim,Irvine Novaquatics,2018 CA NOVA 'Back to School',9/23/18,100 FR SCY Male,2016-2020 BB,Final 50th
54.84,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/6/15,100 FR SCY Male,2012-2016 AAA,
54.85,Jason Kim,Irvine Novaquatics,2015 CA NOVA v CANY,10/31/15,100 FR SCY Male,2012-2016 AAA,Final 1st
55.2,Jason Kim,Irvine Novaquatics,2015 CA NOVA Back-to-School Me,9/19/15,100 FR SCY Male,2012-2016 AAA,Final 8th
56.91,Jason Kim,Irvine Novaquatics,2015 CA NOVA v ROSE,10/3/15,100 FR SCY Male,2012-2016 AA,Final 3rd
58.74,Jason Kim,Irvine Novaquatics,2015 CA NOVA January Intrasqua,1/10/15,100 FR SCY Male,2012-2016 AA,Final 1st
59.38,Jason Kim,Irvine Novaquatics,2014 CA PST/SCS Winter Age Gro,12/14/14,100 FR SCY Male,2012-2016 A,Final 12th
01:00.2,Jason Kim,Irvine Novaquatics,2014 CA NOVAmber Intrasquad Me,11/15/14,100 FR SCY Male,2012-2016 A,Final 9th
01:02.1,Jason Kim,Irvine Novaquatics,2014 CA ROSE v NOVA Dual Meet,11/29/14,100 FR SCY Male,2012-2016 BB,Final 6th
01:03.0,Jason Kim,Irvine Novaquatics,2014 CA NOVA Back-to-School Me,9/21/14,100 FR SCY Male,2012-2016 BB,Final 44th
01:03.1,Jason Kim,Irvine Novaquatics,"2014 CA GSC ""Summer JOMax"" SCY",7/18/14,100 FR SCY Male,2012-2016 BB,Final 3rd
01:07.6,Jason Kim,Irvine Novaquatics,2014 CA NOVA February BRW Meet,2/22/14,100 FR SCY Male,2012-2016 A,Final 22nd
01:10.1,Jason Kim,Irvine Novaquatics,2014 CA AZOT Blue Champs,2/7/14,100 FR SCY Male,2012-2016 A,Final 4th
01:13.8,Jason Kim,Irvine Novaquatics,"2013 CA GWSC ""BRW"" 12-12",12/7/13,100 FR SCY Male,2012-2016 BB,Final 3rd
01:15.2,Jason Kim,Irvine Novaquatics,2013 CA NOVA v Canyons IMX Mee,10/26/13,100 FR SCY Male,2012-2016 BB,Final 15th
01:15.2,Jason Kim,Irvine Novaquatics,2013 CA NOVA BRW Short Course Mee,7/13/13,100 FR SCY Male,2012-2016 BB,Final 12th
01:22.2,Jason Kim,Irvine Novaquatics,2013 CA NOVA OCSL June Meet,6/15/13,100 FR SCY Male,2012-2016 B,Final 5th
01:43.2,Jason Kim,Unattached,2022 CA OB CIF-SS Spring HS MOC Invite,4/15/22,200 FR SCY Male,"""AAA""",Final 10th
01:43.3,Jason Kim,Unattached,2022 CA OB CIF-SS Division 1,5/4/22,200 FR SCY Male,"""AAA""",Prelim 18th
01:44.1,Jason Kim,Irvine Novaquatics,2022 SI CA NV Speedo Sectional,3/5/22,200 FR SCY Male,"""AAA""",Prelim 63rd
01:44.3,Jason Kim,Irvine Novaquatics,2021 CA Dec CA NV Speedo Sectionals,12/18/21,200 FR SCY Male,"""AAA""",Prelim 38th
01:44.6,Jason Kim,Irvine Novaquatics,2023 Southern California Championships,2/15/23,200 FR SCY Male,"""Slower than B""",Final 6th
01:45.0,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Ser Champs,5/8/21,200 FR SCY Male,"""AA""",Final 8th
01:45.4,Jason Kim,Irvine Novaquatics,Concordia v. Chapman,12/2/22,200 FR SCY Male,"""Slower than B""",Final 1st
01:45.7,Jason Kim,Unattached,2022 CA OB CIF-SS Spring HS MOC Invite,4/15/22,200 FR SCY Male,"""AA""",Prelim 12th
01:45.7,Jason Kim,Irvine Novaquatics,PP and Whittier at Chapman,11/5/22,200 FR SCY Male,"""Slower than B""",Final 1st
01:45.7,Jason Kim,Irvine Novaquatics,2019 PC ACSC SR OPEN T&F,2/17/19,200 FR SCY Male,2016-2020 AAA,Prelim 4th
01:45.7,Jason Kim,Irvine Novaquatics,2021 CA Kevin B Perry Senior,11/6/21,200 FR SCY Male,"""AA""",Prelim 76th
01:45.9,Jason Kim,Unattached,2021 CA OB CIF-SS Pacific Coast League,5/19/21,200 FR SCY Male,"""AA""",Prelim 6th
01:46.1,Jason Kim,Unattached,Redlands v. Chapman,11/10/23,200 FR SCY Male,"""Slower than B""",Final 1st
01:46.4,Jason Kim,Unattached,2021 CA OB CIF-SS Pacific Coast League,5/19/21,200 FR SCY Male,"""AA""",Final 6th
01:46.6,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/17/18,200 FR SCY Male,2016-2020 AAAA,Prelim 5th
01:46.7,Jason Kim,Irvine Novaquatics,2022 CA RMDA Road to 2022 SCY Prelims,1/16/22,200 FR SCY Male,"""AA""",Prelim 19th
01:46.9,Jason Kim,Irvine Novaquatics,2020 Sectionals - Carlsbard,2/29/20,200 FR SCY Male,2016-2020 AAA,Prelim 111th
01:48.0,Jason Kim,Irvine Novaquatics,2018 CA PST/SCS WAG,12/7/18,200 FR SCY Male,2016-2020 AA,
01:48.4,Jason Kim,Irvine Novaquatics,2019 CA CA-NV Dec Speedo Sectionals,12/15/19,200 FR SCY Male,2016-2020 AA,Prelim 84th
01:48.8,Jason Kim,Irvine Novaquatics,2018 CA PST/SCS WAG,12/9/18,200 FR SCY Male,2016-2020 AA,Prelim 19th
01:49.3,Jason Kim,Irvine Novaquatics,2019 Sectionals - Carlsbad,3/2/19,200 FR SCY Male,2016-2020 AA,Prelim 143rd
01:49.3,Jason Kim,Irvine Novaquatics,2021 CA SCS Srs #2 NOVA #1-ROSE,10/10/21,200 FR SCY Male,"""A""",Final 14th
01:49.5,Jason Kim,Irvine Novaquatics,2018 CA SCS 14-Un Spring JO Champs,3/17/18,200 FR SCY Male,2016-2020 AAA,Final 10th
01:49.8,Jason Kim,Irvine Novaquatics,2017 CA Kevin B. Perry Senior Invitational,11/4/17,200 FR SCY Male,2016-2020 AAA,Prelim 144th
01:49.9,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 2,4/9/21,200 FR SCY Male,"""A""",Final 3rd
01:49.9,Jason Kim,Irvine Novaquatics,2019 PC ACSC SR OPEN T&F,2/17/19,200 FR SCY Male,2016-2020 AA,Final 9th
01:50.0,Jason Kim,Irvine Novaquatics,2021 AZ MAC March Madness,3/13/21,200 FR SCY Male,"""A""",Prelim 39th
01:50.0,Jason Kim,Irvine Novaquatics,2018 CA SCY Armada Sr Meet,1/13/18,200 FR SCY Male,2016-2020 AAA,Final 28th
01:50.3,Jason Kim,Irvine Novaquatics,2019 CA MVN Sr Q Qualifier,1/19/19,200 FR SCY Male,2016-2020 AA,Final 37th
01:50.4,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/8/17,200 FR SCY Male,2016-2020 AAA,
01:50.8,Jason Kim,Irvine Novaquatics,2018 CA NOVA Senior Intrasquad,2/17/18,200 FR SCY Male,2016-2020 AAA,Final 10th
01:50.9,Jason Kim,Irvine Novaquatics,2016 CA NOVA vs MVN Star League,11/12/16,200 FR SCY Male,2016-2020 AAA,Final 1st
01:51.2,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/11/16,200 FR SCY Male,2016-2020 AAA,Final 5th
01:51.4,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/11/16,200 FR SCY Male,2016-2020 AAA,Prelim 3rd
01:51.4,Jason Kim,Irvine Novaquatics,2020 CA Orange-Metro-Pacific Sr Q Qualifier,1/18/20,200 FR SCY Male,2016-2020 AA,Final 13th
01:52.2,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/10/17,200 FR SCY Male,2016-2020 AAA,Prelim 6th
01:53.3,Jason Kim,Irvine Novaquatics,2016 CA Star League CANY vs NOVA,10/8/16,200 FR SCY Male,2016-2020 AA,Final 3rd
01:53.6,Jason Kim,Irvine Novaquatics,2017 CA Oct 22 NOVA Race Series,10/22/17,200 FR SCY Male,2016-2020 AA,Final 13th
01:55.0,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/18/17,200 FR SCY Male,2016-2020 AA,Prelim 39th
01:56.0,Jason Kim,Irvine Novaquatics,2019 CA SRS NOVA#2-CANY,10/6/19,200 FR SCY Male,2016-2020 A,Final 10th
01:56.0,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,3/31/16,200 FR SCY Male,2012-2016 AAAA,Final 7th
01:56.8,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,3/31/16,200 FR SCY Male,2012-2016 AAAA,Prelim 5th
01:57.7,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/14/16,200 FR SCY Male,2012-2016 AAAA,Final 3rd
